Month,CBSACode,CBSATitle,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,10740,"Albuquerque, NM",56,*,248550,-0.0036,0.0485,2570,-0.1256,-0.093,75,0.0563,-0.0132,894,-0.0154,-0.1096,60,0.5,0.3636,682,0.0791,-0.0201,1197,-0.1054,198.5,321429,0.0022,0.0282,3767,-0.1192,0.3266,0.4658,0.0105,0.4636
1/1/2019 0:00,36540,"Omaha-Council Bluffs, NE-IA",57,*,285112.5,0.0217,0.0769,2230,-0.113,0.0685,58.5,0.0636,-0.0859,952,0.4424,0.147,40,-0.2857,0,460,0.4375,0.2169,177,0,-0.8836,328779,0.0127,0.0264,2407,-0.1055,-0.3328,0.0794,0.009,-0.6492
1/1/2019 0:00,49340,"Worcester, MA-CT",58,,299500,-0.0015,0.0816,2344,-0.1264,0.065,80.5,0.1181,-0.0123,758,0.3252,0.1734,34,0.7,-0.1053,464,0.0265,0.1208,8,-0.1111,0,357563,-0.0006,0.0719,2352,-0.1263,0.0647,0.0034,0.0001,-0.0002
1/1/2019 0:00,28940,"Knoxville, TN",59,,260044.5,0.0004,0.0507,3229,-0.0909,-0.1087,89,0.0854,-0.043,1006,0.1976,0.008,60,1.5,-0.0625,716,0.0915,0.0982,1703,-0.0373,0.0359,377220,-0.0024,0.0942,4932,-0.0731,-0.0636,0.5274,0.0294,0.0736
1/1/2019 0:00,14860,"Bridgeport-Stamford-Norwalk, CT",60,,731750,-0.0099,-0.0037,6277.5,-0.089,0.0967,118,0.1028,0.0351,1452,0.9516,0.1487,38,2.1667,0.1875,922,0.6703,0.2359,16.5,-0.1316,0.1,1412889,-0.009,-0.0055,6294,-0.0891,0.0967,0.0026,-0.0001,0
1/1/2019 0:00,24860,"Greenville-Anderson-Mauldin, SC",61,,250012.5,0.0003,-0.0248,4734,-0.0488,0.076,87,0.1013,0.0875,1250,0.4013,0.054,154,1.0263,-0.2143,790,0.2344,0.4416,757,-0.0549,0.5324,341169,0.0013,0.0316,5491,-0.0497,0.1221,0.1599,-0.001,0.0476
1/1/2019 0:00,35840,"North Port-Sarasota-Bradenton, FL",62,,349950,0.0026,-0.0003,8913,0.0634,0.1308,81.5,0.0584,0.0382,2672,0.3633,0.023,240,1.6087,0.0714,2948,0.6674,0.2202,2178,-0.0073,-0.118,588565,0.0012,0.0148,11091,0.0487,0.0714,0.2444,-0.0174,-0.0689
1/1/2019 0:00,35300,"New Haven-Milford, CT",63,,259950,0,0.0396,3549,-0.0965,0.0443,103,0.0842,0.0619,700,0.1986,-0.1026,18,0.5,-0.25,546,0.092,0.1717,1,0,,353279,0.0039,-0.0623,3550,-0.0965,0.0446,0.0003,0,0.0003
1/1/2019 0:00,19380,"Dayton, OH",64,*,143350,0.0243,0.1463,2314.5,-0.2874,-0.2059,75,0.1364,-0.0066,712,0.0056,-0.1663,32,0.3333,-0.0588,590,-0.1806,0.0068,1200.5,0.7224,0.6616,192337,0.0303,0.0937,3515,-0.109,-0.0335,0.5187,0.3041,0.2708
1/1/2019 0:00,46520,"Urban Honolulu, HI",65,,699050,0,0,3014.5,0.0164,0.3603,67.75,-0.059,-0.0037,1226,0.4951,0.1588,16,0,-0.5,590,0.2292,0.7052,2,0,,1156751,-0.0067,-0.1351,3016.5,0.0163,0.3612,0.0007,0,0.0007
1/1/2019 0:00,10900,"Allentown-Bethlehem-Easton, PA-NJ",66,,218650,-0.0064,0.0172,3503.5,-0.0702,0.0625,88,0.0864,-0.0383,1060,0.3054,0.1134,32,1,-0.3333,704,0.1139,0.2055,1,,0,286681,-0.0205,-0.0015,3504.5,-0.0699,0.0625,0.0003,0.0003,0
1/1/2019 0:00,17900,"Columbia, SC",67,,229500,-0.0107,0.1538,3074.5,-0.0422,-0.0928,84.5,-0.0174,0.0497,1116,0.6127,0.0941,184,2.8333,0.6727,608,0.52,0.027,12.5,0.7857,0,270729,-0.0173,0.0844,3087,-0.0404,-0.0925,0.0041,0.0019,0.0004
1/1/2019 0:00,12940,"Baton Rouge, LA",68,,239950,0.0075,0.0662,3930,-0.041,0.2253,96.5,0.0266,0.0722,980,0.4,0.1475,78,0.95,1.2941,920,0.5132,0.369,55,-0.1406,0.2222,304653,0.0137,0.0076,3985,-0.0425,0.2252,0.014,-0.0016,0
1/1/2019 0:00,24660,"Greensboro-High Point, NC",69,,221425,0.0067,0.1503,2278.5,-0.0666,-0.2245,84.5,0.1267,-0.1289,688,0.303,0.0361,30,1.5,0,418,0.8661,-0.0457,54.5,0.3293,0.2976,285284,0.0057,-0.003,2333,-0.06,-0.2171,0.0239,0.0071,0.0096
